domain,visits
www.whitehouse.gov,28
www.vcf.gov,12774
www.usmarshals.gov,211002
www.uscourts.gov,22
www.uscis.gov,16
www.state.gov,15
www.smart.ojp.gov,27
www.rcfl.gov,1149
www.ovc.ojp.gov,257
www.ojp.gov,563912
www.ojjdp.ojp.gov,84
www.nsopw.gov,1249733
www.niem.gov,11687
www.ncjrs.gov,1024
www.lep.gov,3044
www.justthinktwice.gov,37522
www.justice.gov,3053580
www.iprcenter.gov,2047
www.ic3.gov,99205
www.grants.gov,49
www.getsmartaboutdrugs.gov,20859
www.forfeiture.gov,3660
www.foia.gov,40778
www.fletc.gov,26
www.fbi.gov,1210268
www.ecfr.gov,28
www.deadiversion.usdoj.gov,113984
www.dea.gov,555868
www.crimesolutions.ojp.gov,42
www.consumer.ftc.gov,37
www.civilrights.justice.gov,89
www.cisa.gov,48
www.cdc.gov,19
www.bjs.gov,901
www.bja.ojp.gov,375
www.atf.gov,291465
www.amberalert.ojp.gov,3456
www.ada.gov,149594
webcache.googleusercontent.com,84
vehiclehistory.bja.ojp.gov,37604
uat.smart.ojp.gov,22045
uat.ojp.gov,100389
uat.ojjdp.ojp.gov,159483
uat.nsopw.ojp.gov,19
uat.ncirc.bja.ojp.gov,32710
uat.juvenilecouncil.ojp.gov,33521
uat.justicegrants.usdoj.gov,66682
uat.htcbc.ovc.ojp.gov,18535
uat.bjs.ojp.gov,40
uat.bja.ojp.gov,96117
uat-www.foia.gov,39
test.ovc.ojp.gov,55
test.ojp.gov,25
test.nij.ojp.gov,21
test.bjs.ojp.gov,25
test.bja.ojp.gov,29
stgwww.forfeiture.gov,307
stgsearch.forfeiture.gov,4470
stg.justice.gov,13
stg.d9.justice.gov,86
stg-www.foia.gov,36
stage.usmarshals.gov,792
spi-data.bjs.ojp.gov,75
smart.ojp.gov,11411
search.vcf.gov,167
search.lep.gov,45
search.justice.gov,51142
search.forfeiture.gov,676
search.foia.gov,1923
search.dea.gov,11180
search.atf.gov,7068
search.ada.gov,217
respondentaccess.eoir.justice.gov,35247
ransomware.ic3.gov,232
prod.usmarshals.gov,1035
prod.justice.gov,1081
ovc.ojp.gov,34313
outreachadmin.dea.gov,19
ojp.gov,14888
ojjdp.ojp.gov,18513
nsopw.gov,49
nij.ojp.gov,67153
nicic.gov,27607
ndcac.fbi.gov,1589
ncvs.bjs.ojp.gov,529
ncler.acl.gov,35
ncirc.bja.ojp.gov,834
ncea.acl.gov,95
nationalgangcenter.ojp.gov,9152
namus.nij.ojp.gov,42591
leb.fbi.gov,23887
learn.nicic.gov,2405
learcat.bjs.ojp.gov,224
juvenilecouncil.ojp.gov,300
justicegrants.usdoj.gov,39318
jttprod.dea.gov,18
jttdev.dea.gov,17
icor.eoir.justice.gov,7447
htcbc.ovc.ojp.gov,1401
gsadtest.dea.gov,11
gsadprod.dea.gov,100
gsaddev.dea.gov,12
grants.gov,46
fccps.bjs.ojp.gov,206
fbilabqsd.fbi.gov,65
facjj.ojp.gov,83
ereg.eoir.justice.gov,1061
ereg-uat.eoir.justice.gov,15
efileqa.fara.gov,158
efile.fara.gov,2760
ef.ic3.gov,35
edit.usmarshals.gov,146
edit.atf.gov,43
dev.usmarshals.gov,12
dev.d9.justice.gov,32
dev-fccps.bjs.ojp.gov,13
deadiversion.usdoj.gov,17713
csat.bjs.ojp.gov,273
crimesolutions.ojp.gov,9292
complaint.ic3.gov,67878
civilrights.justice.gov,15299
cdpprod.dea.gov,45
cdpdev.dea.gov,13
bjs.ojp.gov,83227
bjatta.bja.ojp.gov,5023
bja.ojp.gov,36767
biz.fbi.gov,319
beta.ada.gov,70
bec.ic3.gov,92
bankrobbers.fbi.gov,943
artcrimes.fbi.gov,235
archive.ada.gov,19491
amberalert.ojp.gov,35630
admin.dea.gov,13
acis.eoir.justice.gov,1114908
