domain,visits
www.volpe.dot.gov,4322
www.usmma.edu,17750
www.tsp.gov,14
www.tsa.gov,129
www.transtats.bts.gov,10240
www.transportation.gov,409034
www.transit.dot.gov,40066
www.trafficsafetymarketing.gov,7356
www.seaway.dot.gov,2561
www.plainlanguage.gov,16145
www.phmsa.dot.gov,56812
www.nhtsa.gov,2200307
www.maritime.dot.gov,23663
www.grants.gov,126
www.geoplatform.gov,12
www.fmcsa.dot.gov,551314
www.fhwa.dot.gov,130677
www.faa.gov,928626
www.environment.fhwa.dot.gov,2881
www.ems.gov,4891
www.ecfr.gov,728
www.cdc.gov,62
www.bts.gov,31590
www.bts.dot.gov,1457
www.911.gov,19046
www-nrd.nhtsa.dot.gov,117
webcache.googleusercontent.com,14
transtats.bts.gov,1545
tmcpfs.ops.fhwa.dot.gov,98
search.usa.gov,110
sapt.faa.gov,12
safety.fhwa.dot.gov,7996
rosap.ntl.bts.gov,17285
railroads.fra.dot.gov,68
railroads.dot.gov,28922
primis-uat.phmsa.dot.gov,21
pipelinesafety.dot.gov,32239
opstest.fhwa.dot.gov,34
ops.fhwa.dot.gov,19963
ntl.bts.gov,719
nationalregistry.fmcsa.dot.gov,94120
mutcdtest.fhwa.dot.gov,16
mutcd.fhwa.dot.gov,58671
maritime.dot.gov,471
international.fhwa.dot.gov,415
highways.dot.gov,55018
hazmatsafety.dot.gov,35959
hazmat.dot.gov,392
grants.gov,58
fhwatest.fhwa.dot.gov,83
fhwaapps.fhwa.dot.gov,37
esubmit.rita.dot.gov,401
dotcms.fra.dot.gov,64
cms.volpe.dot.gov,36
cms.usmma.edu,130
cms.tsm.nhtsa.dot.gov,54
cms.phmsa.dot.gov,67
cms.nhtsa.dot.gov,56
cms.marad.dot.gov,83
cms.fta.dot.gov,58
cms.fmcsa.dot.gov,54
cms.fhwa.dot.gov,138
cms.faa.gov,312
cms.dot.gov,208
cms.buildamerica.dot.gov,40
cms.bts.gov,13
cms.bts.dot.gov,66
cdan.dot.gov,1882
ask.fmcsa.dot.gov,22035
acquia-test-fhwa8.dot.gov,52
acquia-stage1-tsm-nhtsa.dot.gov,27
acquia-stage1-marad8.dot.gov,17
acquia-stage1-fmcsa8.dot.gov,15
acquia-stage1-fhwa8.dot.gov,12
acquia-stage-dot8.dot.gov,46
acquia-dev-tsm-nhtsa.dot.gov,18
(other),13966
