date,visits
2023-12-12,47558985
2023-12-11,50411428
2023-12-10,29485211
2023-12-09,32501041
2023-12-08,45435840
2023-12-07,50617015
2023-12-06,49899824
2023-12-05,52655815
2023-12-04,54568403
2023-12-03,30962141
2023-12-02,34156644
2023-12-01,47791103
2023-11-30,50805400
2023-11-29,50037676
2023-11-28,48697215
2023-11-27,48369047
2023-11-26,28048855
2023-11-25,28629743
2023-11-24,31327314
2023-11-23,24264234
2023-11-22,38591883
2023-11-21,45541624
2023-11-20,46808756
2023-11-19,26440105
2023-11-18,28435432
2023-11-17,41630058
2023-11-16,46426871
2023-11-15,46673342
2023-11-14,45719969
2023-11-13,48765546
2023-11-12,27233344
2023-11-11,26713860
2023-11-10,36682614
2023-11-09,45211712
2023-11-08,46210766
2023-11-07,46490441
2023-11-06,49092231
2023-11-05,27217327
2023-11-04,28051711
2023-11-03,39010964
2023-11-02,43589625
2023-11-01,45162542
2023-10-31,40671035
2023-10-30,45374454
2023-10-29,25132609
2023-10-28,27692086
2023-10-27,39200669
2023-10-26,43815494
2023-10-25,44663431
2023-10-24,43717166
2023-10-23,43317596
2023-10-22,26759878
2023-10-21,28251558
2023-10-20,40602446
2023-10-19,45124397
2023-10-18,46930787
2023-10-17,45291967
2023-10-16,46986328
2023-10-15,27349254
2023-10-14,32206437
2023-10-13,40962469
2023-10-12,45941199
2023-10-11,44864727
2023-10-10,46570795
2023-10-09,39109760
2023-10-08,25585587
2023-10-07,27728043
2023-10-06,39004756
2023-10-05,45470308
2023-10-04,48818535
2023-10-03,45359992
2023-10-02,43919431
2023-10-01,25817857
2023-09-30,27678563
2023-09-29,40145718
2023-09-28,44306451
2023-09-27,43629914
2023-09-26,45072025
2023-09-25,51312552
2023-09-24,27082813
2023-09-23,28764023
2023-09-22,40746082
2023-09-21,46003523
2023-09-20,44977727
2023-09-19,41904818
2023-09-18,42479531
2023-09-17,24725420
2023-09-16,27876190
2023-09-15,40286589
2023-09-14,43286952
