date,mobile_device,visits
2024-01-04,iPhone,2280956
2024-01-04,Chrome,1832169
2024-01-04,Safari,654625
2024-01-04,Edge,651956
2024-01-04,ChromeBook,121012
2024-01-04,(not set),111898
2024-01-04,Firefox,86762
2024-01-04,iPad,57861
2024-01-04,SM-S908U,27005
2024-01-04,SM-S918U,26808
2024-01-04,SM-S901U,24762
2024-01-04,SM-A146U,21409
2024-01-04,SM-G991U,21069
2024-01-04,SM-S911U,17908
2024-01-04,SM-G998U,14583
2024-01-04,Pixel 7,13200
2024-01-04,SM-S916U,12852
2024-01-04,SM-A325M,12609
2024-01-04,Pixel 6a,12309
2024-01-04,Pixel 6,11934
2024-01-04,SM-S906U,11900
2024-01-04,SM-A217M,11430
2024-01-04,SM-A546E,10782
2024-01-04,Opera,10737
2024-01-04,SM-A326B,10401
2024-01-04,Pixel 7 Pro,10042
2024-01-04,Firefox for Android,9968
2024-01-04,SM-S918B,9809
2024-01-04,M2003J15SC,9308
2024-01-04,SM-A135M,9307
2024-01-04,SM-A536E,9063
2024-01-04,STK-LX3,9048
2024-01-04,SM-G996U,8946
2024-01-04,SM-G781U,8801
2024-01-04,SM-A136U,8795
2024-01-04,M2004J19C,8402
2024-01-04,SM-A515F,8290
2024-01-04,Redmi Note 8,8224
2024-01-04,SM-A525M,8005
2024-01-04,SM-A037U,7909
2024-01-04,SM-G973U,7645
2024-01-04,Moto G20,7643
2024-01-04,moto g pure,7582
2024-01-04,SM-A528B,7471
2024-01-04,SM-G780F,7289
2024-01-04,SM-A127M,7149
2024-01-04,SM-G970U,7118
2024-01-04,SM-G960U,6935
2024-01-04,M2102J20SG,6899
2024-01-04,SM-A145M,6895
2024-01-04,M2101K6G,6889
2024-01-04,M2006C3LG,6846
2024-01-04,M2101K7BL,6841
2024-01-04,2201117TL,6758
2024-01-04,Pixel 6 Pro,6629
2024-01-04,Moto G Stylus 5G,6613
2024-01-04,SM-A715F,6557
2024-01-04,SM-A346M,6538
2024-01-04,SM-N986U,6431
2024-01-04,SM-G975U,6392
2024-01-04,SM-A315G,6380
2024-01-04,Redmi Note 8 Pro,6349
2024-01-04,SM-A035M,6270
2024-01-04,SM-G781V,6269
2024-01-04,SM-A235M,6207
2024-01-04,SM-S918U1,6195
2024-01-04,SM-G781B,6094
2024-01-04,SM-A225M,6048
2024-01-04,SM-G990E,6010
2024-01-04,Redmi Note 9 Pro,6002
2024-01-04,SM-S908U1,5905
2024-01-04,CPH2363,5901
2024-01-04,SM-S908E,5874
2024-01-04,Moto G 5G (2022),5828
2024-01-04,Moto G22,5676
2024-01-04,moto e20,5639
2024-01-04,SM-A107M,5293
2024-01-04,SM-G990U,5116
2024-01-04,Moto G Stylus 5G (2022),5107
2024-01-04,23028RA60L,5085
2024-01-04,moto g play (2023),5047
2024-01-04,SM-A536U,5032
2024-01-04,iPhone 11,4944
2024-01-04,Redmi Note 9S,4936
2024-01-04,iPhone 13,4915
2024-01-04,SM-A226R,4912
2024-01-04,SM-A032M,4900
2024-01-04,SM-A045M,4854
2024-01-04,SM-A336M,4829
2024-01-04,SM-G991B,4820
2024-01-04,M2006C3MG,4789
2024-01-04,SM-A546U,4725
2024-01-04,SM-A042M,4721
2024-01-04,Pixel 8 Pro,4711
2024-01-04,SM-N960U,4691
2024-01-04,SM-A245M,4665
2024-01-04,SM-A037F,4632
2024-01-04,Pixel 7a,4616
2024-01-04,2201117TG,4578
2024-01-04,Moto G Power (2022),4575
2024-01-04,SM-G965U,4554
2024-01-04,SM-G986U,4527
2024-01-04,SM-A125M,4497
2024-01-04,SM-S911B,4486
2024-01-04,MAR-LX3A,4320
2024-01-04,SM-A037M,4284
2024-01-04,SM-A125U,4234
2024-01-04,moto g(60),4105
2024-01-04,SM-N981U,4030
2024-01-04,Moto G Power (2021),3985
2024-01-04,SM-G990U2,3982
2024-01-04,SM-S901E,3976
2024-01-04,iPhone 14 Pro Max,3932
2024-01-04,iPhone 13 Pro Max,3891
2024-01-04,SM-N975U,3875
2024-01-04,SM-A207M,3815
2024-01-04,SM-A236U,3790
2024-01-04,CPH2387,3780
2024-01-04,JKM-LX3,3768
2024-01-04,SM-A307G,3691
2024-01-04,Edge 5G UW,3673
2024-01-04,M2007J20CG,3632
2024-01-04,CPH2239,3599
2024-01-04,VNE-LX3,3580
2024-01-04,SM-G950U,3560
2024-01-04,220333QL,3528
2024-01-04,SM-G998B,3511
2024-01-04,2212ARNC4L,3502
2024-01-04,Pixel 8,3500
2024-01-04,SM-A127F,3475
2024-01-04,moto g 5G - 2023,3469
2024-01-04,2303ERA42L,3415
2024-01-04,SM-A115M,3403
2024-01-04,SM-A716U,3329
2024-01-04,SM-G981U,3308
2024-01-04,SM-A426U,3286
2024-01-04,SM-A505G,3285
2024-01-04,Moto G9 Play,3263
2024-01-04,moto g stylus 5G - 2023,3200
2024-01-04,SM-A022M,3195
2024-01-04,SM-A125F,3183
2024-01-04,SM-G975F,3179
2024-01-04,RMO-NX3,3173
2024-01-04,KI5k,3170
2024-01-04,2109119DG,3152
2024-01-04,SM-A526U,3124
2024-01-04,TFY-LX3,3123
2024-01-04,Pixel 4a,3097
2024-01-04,Moto G52,3075
2024-01-04,SM-A135F,3053
2024-01-04,CRT-LX3,3042
2024-01-04,iPhone 12,3032
2024-01-04,moto g(50) 5G,3025
2024-01-04,CPH2477,3017
2024-01-04,SM-G998U1,2996
2024-01-04,SM-A325F,2955
2024-01-04,SM-A217F,2953
2024-01-04,SM-G991U1,2940
2024-01-04,moto g(60)s,2930
2024-01-04,2201116TG,2926
2024-01-04,2201116SG,2918
2024-01-04,DE2118,2900
2024-01-04,SM-F711U,2893
2024-01-04,RKY-LX3,2889
2024-01-04,SM-G781U1,2863
2024-01-04,SM-S916B,2831
2024-01-04,SM-A105M,2796
2024-01-04,SM-F721U,2796
2024-01-04,SM-G973F,2782
2024-01-04,Pixel 5,2765
2024-01-04,SM-S136DL,2761
2024-01-04,Moto E13,2751
2024-01-04,moto g(30),2746
2024-01-04,SM-S711U,2731
2024-01-04,SM-S901B,2728
2024-01-04,iPhone 14,2699
2024-01-04,SM-S901U1,2683
2024-01-04,Moto G32,2652
2024-01-04,SM-A305G,2647
2024-01-04,Internet Explorer,2624
2024-01-04,SM-A025M,2613
2024-01-04,SM-A205G,2609
2024-01-04,SM-M315F,2609
2024-01-04,KI7,2593
2024-01-04,2201117SL,2566
2024-01-04,CPH2381,2544
2024-01-04,CPH2269,2540
2024-01-04,SM-G996B,2534
2024-01-04,SM-G781W,2530
2024-01-04,one 5G ace,2510
2024-01-04,SM-F936U,2480
2024-01-04,moto g13,2472
2024-01-04,CPH2127,2434
2024-01-04,SM-A536B,2416
2024-01-04,RMX3231,2407
2024-01-04,SM-A226B,2404
2024-01-04,M2101K7AG,2387
2024-01-04,Moto G42,2382
2024-01-04,SM-A146M,2378
2024-01-04,SM-A135U,2361
2024-01-04,M2103K19G,2357
2024-01-04,moto g(9) power,2354
2024-01-04,One Fusion,2351
2024-01-04,BF7,2333
2024-01-04,CPH2205,2322
2024-01-04,SM-N950U,2316
2024-01-04,SM-F731U,2302
2024-01-04,SM-N970U,2284
2024-01-04,iPhone 14 Pro,2263
2024-01-04,Moto E7i Power,2242
2024-01-04,XT2335-2,2242
2024-01-04,moto g(9) plus,2239
2024-01-04,Moto G7 Power,2238
2024-01-04,iPhone 13 Pro,2234
2024-01-04,Moto G Stylus (2022),2229
2024-01-04,moto g51 5G,2229
2024-01-04,Moto G Stylus,2226
2024-01-04,KFTRWI,2212
2024-01-04,SM-A736B,2187
2024-01-04,SM-G988U,2172
2024-01-04,SM-S906E,2170
2024-01-04,21081111RG,2164
2024-01-04,21061119AL,2155
2024-01-04,Moto E40,2153
2024-01-04,SM-X200,2140
2024-01-04,SM-N975F,2125
2024-01-04,CPH2185,2122
2024-01-04,Redmi Note 7,2110
2024-01-04,moto e(7) plus,2105
2024-01-04,SM-G973U1,2101
2024-01-04,Moto G31,2100
2024-01-04,CPH2467,2088
2024-01-04,SM-A525F,2076
2024-01-04,SM-A102U,2060
2024-01-04,SM-S146VL,2055
2024-01-04,moto g stylus (2023),2036
2024-01-04,CPH2365,2034
2024-01-04,M2010J19SL,2015
2024-01-04,SM-S901W,2011
2024-01-04,2201117SG,2009
2024-01-04,SM-G960U1,2007
2024-01-04,SM-A032F,1990
2024-01-04,X669,1990
2024-01-04,moto g71 5G,1983
2024-01-04,SM-S911U1,1978
2024-01-04,SM-G950F,1975
2024-01-04,SM-F926U,1970
2024-01-04,YAL-L21,1967
2024-01-04,SM-A725M,1962
2024-01-04,SM-G955U,1936
2024-01-04,TMAF025G,1936
2024-01-04,DUB-LX3,1935
2024-01-04,SM-A137F,1928
2024-01-04,2209116AG,1926
2024-01-04,22101316G,1922
2024-01-04,2201116PG,1904
2024-01-04,SM-A515U,1900
2024-01-04,SM-A205U,1894
2024-01-04,23053RN02L,1893
2024-01-04,SM-A346E,1889
2024-01-04,CMA-LX3,1888
2024-01-04,SM-A047M,1884
2024-01-04,SM-F721B,1871
2024-01-04,moto g(8) plus,1870
2024-01-04,2107113SG,1868
2024-01-04,Moto E32,1867
2024-01-04,22101320G,1853
2024-01-04,RMX3710,1848
2024-01-04,SM-A546B,1848
2024-01-04,SM-S908B,1848
2024-01-04,CPH2531,1846
2024-01-04,MRD-LX3,1845
2024-01-04,SM-G975U1,1845
2024-01-04,SM-S906U1,1834
2024-01-04,Moto E22i,1832
2024-01-04,220233L2G,1820
2024-01-04,ANE-LX3,1806
2024-01-04,moto g play (2021),1804
2024-01-04,SM-G970U1,1802
2024-01-04,SM-A235F,1801
2024-01-04,220333QAG,1787
2024-01-04,SM-S911W,1779
2024-01-04,KFMAWI,1756
2024-01-04,SM-F946U,1750
2024-01-04,M2012K11AG,1733
2024-01-04,SM-N986U1,1729
2024-01-04,M2101K7BG,1725
2024-01-04,iPhone XR,1721
2024-01-04,V2027,1715
2024-01-04,Moto g41,1679
2024-01-04,SM-G610M,1677
2024-01-04,23026RN54G,1650
2024-01-04,SM-A536U1,1645
2024-01-04,SM-J260M,1644
2024-01-04,Moto G72,1642
2024-01-04,SM-G532M,1630
2024-01-04,SM-A336E,1628
2024-01-04,2201117TY,1623
2024-01-04,1906,1619
2024-01-04,REVVL V+ 5G,1619
2024-01-04,TMAF035G,1608
2024-01-04,Moto E6 Play,1602
2024-01-04,SM-A705MN,1594
2024-01-04,Moto G82 5G,1585
2024-01-04,SNE-LX3,1552
2024-01-04,V2109,1527
2024-01-04,SM-A015M,1524
2024-01-04,SM-G996U1,1510
2024-01-04,SM-A215U,1503
2024-01-04,Moto E6S,1490
2024-01-04,JNY-LX2,1489
2024-01-04,LM-Q730,1480
2024-01-04,M2006C3MII,1480
2024-01-04,DN2101,1478
2024-01-04,Redmi 8,1474
2024-01-04,SM-S536DL,1474
2024-01-04,moto e(7),1456
2024-01-04,Moto G Power,1451
2024-01-04,Moto E22,1449
2024-01-04,SM-A145F,1448
2024-01-04,CPH1909,1446
2024-01-04,KFONWI,1446
2024-01-04,22101316UG,1443
2024-01-04,220733SL,1441
2024-01-04,SM-A013M,1440
2024-01-04,AC2001,1438
2024-01-04,Pixel 4a (5G),1430
2024-01-04,SM-S916U1,1430
2024-01-04,Edge (2022),1420
2024-01-04,iPhone 14 Plus,1416
2024-01-04,SM-S918W,1403
2024-01-04,Moto g(8) power lite,1394
2024-01-04,SM-G985F,1392
2024-01-04,2207117BPG,1391
2024-01-04,SM-F711B,1388
2024-01-04,SM-G990U1,1375
2024-01-04,G8 Power,1373
2024-01-04,IV2201,1371
2024-01-04,moto g23,1367
2024-01-04,BF6,1361
2024-01-04,edge 20 lite,1360
2024-01-04,Pixel 3a,1359
2024-01-04,SM-T510,1354
2024-01-04,SM-G981V,1350
2024-01-04,SM-A146U1,1347
2024-01-04,B131DL,1334
2024-01-04,SM-S908W,1327
2024-01-04,SM-T500,1327
2024-01-04,Moto E6 Plus,1325
2024-01-04,VOG-L29,1316
2024-01-04,M2101K7BI,1313
2024-01-04,SM-A516U,1309
2024-01-04,CPH2083,1303
2024-01-04,M2101K6R,1303
2024-01-04,V2206,1303
2024-01-04,SM-G991W,1295
2024-01-04,CPH1937,1290
2024-01-04,RMX3085,1283
2024-01-04,Redmi Note 9 Pro Max,1283
2024-01-04,Redmi Note 7 Pro,1282
2024-01-04,SM-A146B,1277
2024-01-04,SM-F731B,1272
2024-01-04,SM-G981U1,1271
2024-01-04,SM-G986U1,1266
2024-01-04,Edge 30 Neo,1263
2024-01-04,CPH2487,1261
2024-01-04,iPhone SE (2nd generation),1261
2024-01-04,M1908C3JGG,1253
2024-01-04,SM-G960F,1253
2024-01-04,X688B,1252
2024-01-04,SM-A505U,1251
2024-01-04,Pixel 5a,1246
2024-01-04,SM-A346B,1239
2024-01-04,SM-G970F,1236
2024-01-04,X678B,1235
2024-01-04,FRL-L23,1234
2024-01-04,23021RAAEG,1231
2024-01-04,GN2200,1231
2024-01-04,moto E5 play,1227
2024-01-04,CPH2515,1222
2024-01-04,SM-G965U1,1220
2024-01-04,SM-A546U1,1215
2024-01-04,SM-T220,1215
2024-01-04,Moto E6i,1212
2024-01-04,CPH2565,1210
2024-01-04,Blade A5 2020,1207
2024-01-04,21121119VL,1206
2024-01-04,M2101K6P,1206
2024-01-04,Moto G Power 5G - 2023,1205
2024-01-04,SM-A145R,1205
2024-01-04,One 5G UW Ace,1202
2024-01-04,SM-N975U1,1196
2024-01-04,edge 30,1194
2024-01-04,SM-A225F,1187
2024-01-04,Moto G84 5G,1169
2024-01-04,XT-2343-1,1163
2024-01-04,SM-J610G,1162
2024-01-04,CPH2385,1158
2024-01-04,KG5j,1153
2024-01-04,SM-G965F,1152
2024-01-04,RMX2151,1151
2024-01-04,iPhone 12 Pro,1140
2024-01-04,SM-A336B,1135
2024-01-04,LM-K500,1128
2024-01-04,M2006C3LI,1127
2024-01-04,SM-A505F,1123
2024-01-04,SM-A047F,1120
2024-01-04,SM-G9650,1117
2024-01-04,M2010J19CG,1114
2024-01-04,Moto G7 Play,1109
2024-01-04,V2205,1107
2024-01-04,SM-J600G,1100
2024-01-04,CPH2401,1094
2024-01-04,SM-A115U,1085
2024-01-04,SM-N960F,1080
2024-01-04,V2058,1076
2024-01-04,SM-G980F,1075
2024-01-04,SM-N981U1,1075
2024-01-04,POT-LX3,1072
2024-01-04,SM-F731U1,1068
2024-01-04,RMX3511,1067
2024-01-04,T602DL,1064
2024-01-04,SM-M515F,1062
2024-01-04,SM-A307FN,1058
2024-01-04,2201117TI,1057
2024-01-04,SM-G990B2,1057
2024-01-04,SM-A146P,1055
2024-01-04,220333QNY,1053
2024-01-04,SM-M215F,1051
2024-01-04,V2204,1049
2024-01-04,MAR-LX3Bm,1048
2024-01-04,SM-N770F,1047
2024-01-04,Blade A51,1041
2024-01-04,SM-A315F,1031
2024-01-04,SM-S711B,1028
2024-01-04,Pixel 3,1026
2024-01-04,TMRV065G,1026
2024-01-04,Moto One Macro,1025
2024-01-04,X670,1019
2024-01-04,SM-A042F,1018
2024-01-04,SM-P610,1018
2024-01-04,X657B,1017
2024-01-04,Edge 40,1014
2024-01-04,M2010J19SI,1012
2024-01-04,EB2101,1001
2024-01-04,moto g stylus (2021),1001
2024-01-03,iPhone,2229954
2024-01-03,Chrome,1828819
2024-01-03,Edge,616013
2024-01-03,Safari,596443
2024-01-03,(not set),110476
2024-01-03,ChromeBook,99118
2024-01-03,Firefox,83385
2024-01-03,iPad,54100
2024-01-03,SM-S908U,27855
2024-01-03,SM-S918U,27043
2024-01-03,SM-S901U,24183
2024-01-03,SM-G991U,20119
2024-01-03,SM-A146U,19805
2024-01-03,SM-S911U,17669
2024-01-03,SM-G998U,14153
2024-01-03,Pixel 7,13383
2024-01-03,SM-S916U,12389
2024-01-03,SM-A325M,12179
2024-01-03,Pixel 6,12041
2024-01-03,Pixel 6a,12021
2024-01-03,SM-S906U,11636
2024-01-03,SM-A217M,11026
2024-01-03,Opera,10933
2024-01-03,SM-A546E,10671
2024-01-03,Pixel 7 Pro,10481
2024-01-03,SM-S918B,10246
2024-01-03,SM-A326B,10044
2024-01-03,Firefox for Android,9554
2024-01-03,SM-A135M,9289
2024-01-03,M2003J15SC,9229
2024-01-03,SM-G996U,9111
2024-01-03,SM-A536E,8936
2024-01-03,STK-LX3,8519
2024-01-03,SM-A515F,8499
2024-01-03,M2004J19C,8486
2024-01-03,SM-G781U,8375
2024-01-03,Redmi Note 8,8355
2024-01-03,SM-A136U,8328
2024-01-03,SM-A525M,7753
2024-01-03,SM-G973U,7732
2024-01-03,SM-A528B,7649
2024-01-03,Moto G20,7466
2024-01-03,SM-A037U,7342
2024-01-03,moto g pure,7282
2024-01-03,SM-G780F,7074
2024-01-03,SM-G970U,7000
2024-01-03,M2102J20SG,6773
2024-01-03,SM-A145M,6757
2024-01-03,M2101K6G,6725
2024-01-03,SM-G960U,6691
2024-01-03,SM-A127M,6690
2024-01-03,M2006C3LG,6606
2024-01-03,Pixel 6 Pro,6585
2024-01-03,SM-A315G,6558
2024-01-03,2201117TL,6519
2024-01-03,Redmi Note 8 Pro,6467
2024-01-03,SM-N986U,6377
2024-01-03,SM-A715F,6371
2024-01-03,SM-A346M,6342
2024-01-03,SM-A035M,6243
2024-01-03,Moto G Stylus 5G,6221
2024-01-03,M2101K7BL,6217
2024-01-03,SM-G975U,6193
2024-01-03,SM-G781V,6171
2024-01-03,SM-G781B,6126
2024-01-03,SM-A235M,6105
2024-01-03,SM-S908E,6075
2024-01-03,SM-S918U1,6008
2024-01-03,SM-A225M,5994
2024-01-03,SM-G990E,5980
2024-01-03,CPH2363,5968
2024-01-03,SM-S908U1,5808
2024-01-03,Moto G22,5785
2024-01-03,iPhone 11,5708
2024-01-03,Redmi Note 9 Pro,5678
2024-01-03,Moto G 5G (2022),5593
2024-01-03,moto e20,5532
2024-01-03,iPhone 13,5488
2024-01-03,SM-G990U,5123
2024-01-03,SM-A107M,5060
2024-01-03,Redmi Note 9S,5000
2024-01-03,23028RA60L,4902
2024-01-03,SM-A546U,4890
2024-01-03,SM-A536U,4816
2024-01-03,SM-A336M,4804
2024-01-03,SM-G991B,4784
2024-01-03,Moto G Stylus 5G (2022),4778
2024-01-03,moto g play (2023),4772
2024-01-03,SM-N960U,4755
2024-01-03,SM-A045M,4740
2024-01-03,SM-A226R,4727
2024-01-03,SM-A032M,4696
2024-01-03,SM-A037F,4692
2024-01-03,M2006C3MG,4688
2024-01-03,Moto G Power (2022),4672
2024-01-03,Pixel 7a,4616
2024-01-03,Pixel 8 Pro,4602
2024-01-03,SM-A042M,4579
2024-01-03,2201117TG,4564
2024-01-03,SM-S911B,4505
2024-01-03,SM-A245M,4475
2024-01-03,SM-G965U,4406
2024-01-03,SM-A125M,4400
2024-01-03,SM-G986U,4396
2024-01-03,MAR-LX3A,4364
2024-01-03,SM-A037M,4249
2024-01-03,SM-A125U,4194
2024-01-03,iPhone 14 Pro Max,4147
2024-01-03,SM-N981U,4015
2024-01-03,moto g(60),4009
2024-01-03,iPhone 13 Pro Max,3948
2024-01-03,SM-S901E,3931
2024-01-03,SM-G990U2,3890
2024-01-03,SM-A307G,3776
2024-01-03,SM-N975U,3763
2024-01-03,SM-A236U,3670
2024-01-03,SM-A207M,3666
2024-01-03,CPH2387,3638
2024-01-03,M2007J20CG,3604
2024-01-03,Moto G Power (2021),3576
2024-01-03,SM-G998B,3571
2024-01-03,JKM-LX3,3569
2024-01-03,VNE-LX3,3549
2024-01-03,Edge 5G UW,3505
2024-01-03,220333QL,3484
2024-01-03,CPH2239,3478
2024-01-03,SM-G950U,3458
2024-01-03,Pixel 8,3352
2024-01-03,SM-A115M,3352
2024-01-03,SM-A505G,3334
2024-01-03,2212ARNC4L,3319
2024-01-03,iPhone 12,3317
2024-01-03,SM-A127F,3297
2024-01-03,moto g 5G - 2023,3249
2024-01-03,2109119DG,3220
2024-01-03,SM-A716U,3205
2024-01-03,2303ERA42L,3197
2024-01-03,Pixel 4a,3156
2024-01-03,SM-A526U,3152
2024-01-03,Moto G9 Play,3140
2024-01-03,SM-A125F,3134
2024-01-03,SM-G975F,3082
2024-01-03,moto g stylus 5G - 2023,3076
2024-01-03,Moto G52,3065
2024-01-03,TFY-LX3,3061
2024-01-03,RMO-NX3,3059
2024-01-03,SM-A217F,3036
2024-01-03,SM-A022M,3032
2024-01-03,SM-G981U,3032
2024-01-03,iPhone 14,3002
2024-01-03,CRT-LX3,2994
2024-01-03,SM-A426U,2971
2024-01-03,SM-S916B,2963
2024-01-03,moto g(60)s,2959
2024-01-03,SM-G991U1,2936
2024-01-03,SM-A325F,2910
2024-01-03,SM-G998U1,2910
2024-01-03,2201116SG,2887
2024-01-03,RKY-LX3,2845
2024-01-03,DE2118,2818
2024-01-03,2201116TG,2815
2024-01-03,Pixel 5,2810
2024-01-03,moto g(50) 5G,2804
2024-01-03,SM-G781U1,2798
2024-01-03,SM-F711U,2796
2024-01-03,CPH2477,2775
2024-01-03,Moto E13,2770
2024-01-03,moto g(30),2768
2024-01-03,SM-A135F,2753
2024-01-03,SM-A105M,2740
2024-01-03,Moto G32,2732
2024-01-03,SM-S901B,2730
2024-01-03,Internet Explorer,2719
2024-01-03,SM-S901U1,2710
2024-01-03,KI5k,2708
2024-01-03,SM-G973F,2703
2024-01-03,SM-S711U,2667
2024-01-03,SM-G781W,2663
2024-01-03,SM-F721U,2657
2024-01-03,SM-A205G,2611
2024-01-03,KI7,2607
2024-01-03,SM-A025M,2573
2024-01-03,SM-M315F,2568
2024-01-03,SM-S136DL,2546
2024-01-03,SM-A305G,2526
2024-01-03,SM-G996B,2523
2024-01-03,SM-F936U,2520
2024-01-03,iPhone 14 Pro,2513
2024-01-03,CPH2269,2502
2024-01-03,one 5G ace,2477
2024-01-03,CPH2127,2469
2024-01-03,M2103K19G,2420
2024-01-03,CPH2381,2408
2024-01-03,SM-A135U,2406
2024-01-03,2201117SL,2398
2024-01-03,SM-A536B,2396
2024-01-03,Moto G42,2376
2024-01-03,RMX3231,2356
2024-01-03,SM-N970U,2347
2024-01-03,SM-A146M,2328
2024-01-03,SM-A226B,2315
2024-01-03,iPhone 13 Pro,2300
2024-01-03,moto g13,2298
2024-01-03,CPH2205,2292
2024-01-03,SM-F731U,2273
2024-01-03,SM-N950U,2258
2024-01-03,Moto E40,2248
2024-01-03,moto g51 5G,2244
2024-01-03,SM-A736B,2238
2024-01-03,XT2335-2,2232
2024-01-03,moto g(9) plus,2228
2024-01-03,One Fusion,2227
2024-01-03,SM-S906E,2223
2024-01-03,M2101K7AG,2217
2024-01-03,Moto G Stylus (2022),2197
2024-01-03,SM-G988U,2190
2024-01-03,Moto E7i Power,2180
2024-01-03,moto g(9) power,2175
2024-01-03,Moto G Stylus,2173
2024-01-03,SM-S901W,2155
2024-01-03,Redmi Note 7,2154
2024-01-03,21081111RG,2136
2024-01-03,BF7,2133
2024-01-03,SM-A525F,2122
2024-01-03,moto e(7) plus,2117
2024-01-03,SM-F926U,2108
2024-01-03,SM-N975F,2084
2024-01-03,Moto G7 Power,2077
2024-01-03,CPH2467,2069
2024-01-03,SM-G973U1,2058
2024-01-03,SM-S146VL,2011
2024-01-03,CPH2365,1993
2024-01-03,Moto G31,1988
2024-01-03,SM-X200,1974
2024-01-03,SM-G950F,1962
2024-01-03,moto g stylus (2023),1962
2024-01-03,2201116PG,1957
2024-01-03,2201117SG,1956
2024-01-03,21061119AL,1951
2024-01-03,YAL-L21,1949
2024-01-03,SM-G975U1,1944
2024-01-03,X669,1941
2024-01-03,moto g71 5G,1940
2024-01-03,CPH2185,1937
2024-01-03,SM-G960U1,1935
2024-01-03,SM-S911U1,1929
2024-01-03,SM-A725M,1925
2024-01-03,23053RN02L,1923
2024-01-03,SM-A102U,1919
2024-01-03,Moto E32,1918
2024-01-03,2107113SG,1914
2024-01-03,SM-A346E,1913
2024-01-03,M2010J19SL,1910
2024-01-03,SM-A137F,1906
2024-01-03,RMX3710,1883
2024-01-03,SM-A032F,1880
2024-01-03,22101320G,1875
2024-01-03,iPhone XR,1875
2024-01-03,2209116AG,1871
2024-01-03,KFTRWI,1851
2024-01-03,22101316G,1848
2024-01-03,SM-S908B,1842
2024-01-03,SM-F946U,1840
2024-01-03,SM-S911W,1838
2024-01-03,TMAF025G,1837
2024-01-03,SM-G955U,1830
2024-01-03,DUB-LX3,1821
2024-01-03,CPH2531,1820
2024-01-03,moto g play (2021),1802
2024-01-03,SM-A235F,1798
2024-01-03,SM-S906U1,1798
2024-01-03,moto g(8) plus,1793
2024-01-03,SM-F721B,1788
2024-01-03,SM-A047M,1787
2024-01-03,SM-A546B,1787
2024-01-03,CMA-LX3,1784
2024-01-03,SM-A515U,1776
2024-01-03,M2101K7BG,1774
2024-01-03,SM-N986U1,1772
2024-01-03,SM-G970U1,1750
2024-01-03,220233L2G,1749
2024-01-03,SM-A205U,1747
2024-01-03,ANE-LX3,1727
2024-01-03,Moto E22i,1724
2024-01-03,220333QAG,1707
2024-01-03,MRD-LX3,1664
2024-01-03,Moto G72,1662
2024-01-03,M2012K11AG,1657
2024-01-03,SM-G610M,1646
2024-01-03,SM-G532M,1643
2024-01-03,V2027,1639
2024-01-03,Moto g41,1625
2024-01-03,2201117TY,1619
2024-01-03,SM-J260M,1617
2024-01-03,1906,1606
2024-01-03,Moto E6 Play,1594
2024-01-03,iPhone 14 Plus,1592
2024-01-03,SM-A336E,1564
2024-01-03,V2109,1544
2024-01-03,Redmi 8,1533
2024-01-03,TMAF035G,1530
2024-01-03,Moto G82 5G,1529
2024-01-03,SM-A705MN,1527
2024-01-03,Moto E6S,1506
2024-01-03,REVVL V+ 5G,1505
2024-01-03,23026RN54G,1504
2024-01-03,SM-A015M,1504
2024-01-03,SM-A215U,1501
2024-01-03,JNY-LX2,1497
2024-01-03,KFMAWI,1474
2024-01-03,DN2101,1473
2024-01-03,SM-G996U1,1464
2024-01-03,SM-S916U1,1462
2024-01-03,SM-A145F,1456
2024-01-03,SM-S918W,1454
2024-01-03,AC2001,1453
2024-01-03,SM-A536U1,1452
2024-01-03,SM-A013M,1429
2024-01-03,Moto E22,1428
2024-01-03,Pixel 4a (5G),1428
2024-01-03,moto e(7),1424
2024-01-03,SNE-LX3,1417
2024-01-03,LM-Q730,1408
2024-01-03,Moto G Power,1408
2024-01-03,VOG-L29,1396
2024-01-03,M2006C3MII,1381
2024-01-03,SM-S536DL,1379
2024-01-03,BF6,1366
2024-01-03,SM-G990U1,1366
2024-01-03,2207117BPG,1358
2024-01-03,iPhone SE (2nd generation),1356
2024-01-03,Moto E6 Plus,1352
2024-01-03,SM-G985F,1350
2024-01-03,CPH1909,1349
2024-01-03,RMX3085,1347
2024-01-03,220733SL,1342
2024-01-03,SM-F711B,1342
2024-01-03,IV2201,1341
2024-01-03,Redmi Note 7 Pro,1334
2024-01-03,SM-S908W,1334
2024-01-03,SM-G981U1,1330
2024-01-03,22101316UG,1329
2024-01-03,G8 Power,1314
2024-01-03,Moto g(8) power lite,1313
2024-01-03,CPH2487,1307
2024-01-03,SM-G981V,1296
2024-01-03,SM-G991W,1289
2024-01-03,moto g23,1286
2024-01-03,SM-F731B,1284
2024-01-03,CPH2083,1281
2024-01-03,Pixel 3a,1278
2024-01-03,M2101K6R,1275
2024-01-03,SM-A146B,1272
2024-01-03,SM-T510,1272
2024-01-03,Redmi Note 9 Pro Max,1271
2024-01-03,Edge (2022),1270
2024-01-03,M2101K7BI,1269
2024-01-03,SM-T500,1269
2024-01-03,B131DL,1260
2024-01-03,SM-N975U1,1254
2024-01-03,V2206,1253
2024-01-03,SM-G960F,1252
2024-01-03,moto E5 play,1249
2024-01-03,SM-G986U1,1244
2024-01-03,SM-G970F,1234
